Name,Major NDVI,Major element,Mean NDVI
000-prepared.jpg,-1.0,"5,5,5",-0.9359172818404049
001-prepared.jpg,-1.0,"5,5,5",-0.9359172818404049
002-prepared.jpg,0.1,"254,208,126",0.20090866106964084
003-prepared.jpg,-0.5,"150,150,150",-0.06702738895443756
004-prepared.jpg,-0.1,"248,140,82",0.13347987246786525
005-prepared.jpg,1.0,"52,134,87",0.23912484182496074
006-prepared.jpg,1.0,"52,134,87",0.15288222900478998
007-prepared.jpg,1.0,"52,134,87",0.11556119641402729
008-prepared.jpg,-0.6,"121,121,121",-0.05487667437717001
009-prepared.jpg,-0.6,"121,121,121",-0.10304793401912056
010-prepared.jpg,-0.45,"166,166,166",-0.04641967760148558
011-prepared.jpg,1.0,"52,134,87",0.044107515446803844
012-prepared.jpg,1.0,"52,134,87",0.03665664305033395
013-prepared.jpg,1.0,"52,134,87",-0.0030504213436742325
014-prepared.jpg,1.0,"52,134,87",0.0847103230767447
015-prepared.jpg,1.0,"52,134,87",0.12297844060810638
016-prepared.jpg,1.0,"52,134,87",0.13177198566336396
017-prepared.jpg,1.0,"52,134,87",0.16323406079615346
018-prepared.jpg,1.0,"52,134,87",0.21148915705351237
019-prepared.jpg,1.0,"52,134,87",0.25848095786809777
020-prepared.jpg,-0.3,"222,76,75",0.15647425806446164
021-prepared.jpg,1.0,"52,134,87",0.22127173745606604
022-prepared.jpg,0.65,"173,221,164",0.20777744358341563
023-prepared.jpg,1.0,"52,134,87",0.032975800433045266
024-prepared.jpg,1.0,"52,134,87",-0.11877973672230206
025-prepared.jpg,1.0,"52,134,87",-0.1190827065840005
026-prepared.jpg,1.0,"52,134,87",-0.003053697347283406
027-prepared.jpg,1.0,"52,134,87",0.03016672540545277
028-prepared.jpg,1.0,"52,134,87",0.24329377832408766
029-prepared.jpg,1.0,"52,134,87",0.19570786038684265
030-prepared.jpg,1.0,"52,134,87",0.22041468021427976
031-prepared.jpg,0.65,"173,221,164",0.25443825319050506
032-prepared.jpg,0.65,"173,221,164",0.2649704041984242
033-prepared.jpg,-0.15,"246,122,73",0.16405109716177915
034-prepared.jpg,-0.1,"248,140,82",0.06666391932466856
035-prepared.jpg,0.25,"255,241,168",0.30267267957239463
036-prepared.jpg,0.45,"236,248,161",0.39714222131489263
037-prepared.jpg,0.55,"209,236,156",0.4666554063159806
038-prepared.jpg,0.35,"251,253,185",0.2757112299289501
039-prepared.jpg,0.25,"255,241,168",0.23824570356915145
040-prepared.jpg,0.25,"255,241,168",0.27824545388129657
041-prepared.jpg,0.5,"224,243,153",0.3609200402495163
042-prepared.jpg,0.5,"224,243,153",0.37111819609305874
043-prepared.jpg,0.65,"173,221,164",0.5208835464763576
044-prepared.jpg,0.55,"209,236,156",0.4387753905996498
045-prepared.jpg,0.65,"173,221,164",0.552718370816382
046-prepared.jpg,0.95,"62,149,183",0.7204660301511927
047-prepared.jpg,0.95,"62,149,183",0.7772596251609307
048-prepared.jpg,0.95,"62,149,183",0.8134077808664979
049-prepared.jpg,0.95,"62,149,183",0.7110413004461412
050-prepared.jpg,0.95,"62,149,183",0.6997730109816518
051-prepared.jpg,0.95,"62,149,183",0.686431048951525
052-prepared.jpg,0.95,"62,149,183",0.621552030892951
053-prepared.jpg,0.9,"77,167,176",0.6157256721285587
054-prepared.jpg,0.95,"62,149,183",0.6549044848743308
055-prepared.jpg,0.9,"77,167,176",0.6502677567645533
056-prepared.jpg,0.9,"77,167,176",0.684322043390899
057-prepared.jpg,0.85,"94,185,169",0.615141539866404
058-prepared.jpg,0.95,"62,149,183",0.624924856078543
059-prepared.jpg,0.9,"77,167,176",0.5033442313729201
060-prepared.jpg,0.95,"62,149,183",0.3806441383312047
061-prepared.jpg,0.95,"62,149,183",0.3075292212393193
062-prepared.jpg,1.0,"52,134,87",0.24062177368661808
063-prepared.jpg,1.0,"52,134,87",0.23477888716793135
064-prepared.jpg,1.0,"52,134,87",0.21349973579691417
065-prepared.jpg,1.0,"52,134,87",0.243704675730359
066-prepared.jpg,1.0,"52,134,87",0.26306297685728164
067-prepared.jpg,1.0,"52,134,87",0.2905908842847538
068-prepared.jpg,1.0,"52,134,87",0.30227954254743594
069-prepared.jpg,1.0,"52,134,87",0.3094128481188444
070-prepared.jpg,1.0,"52,134,87",0.31370294276335864
071-prepared.jpg,1.0,"52,134,87",0.28782738033501476
072-prepared.jpg,-1.0,"5,5,5",-0.4320782279034205
073-prepared.jpg,-1.0,"5,5,5",-0.2655784880274377
074-prepared.jpg,-1.0,"5,5,5",-0.18961160650124634
075-prepared.jpg,-1.0,"5,5,5",-0.11651102735276452
076-prepared.jpg,-1.0,"5,5,5",0.02675190466978966
077-prepared.jpg,-1.0,"5,5,5",0.04811412149422513
078-prepared.jpg,1.0,"52,134,87",0.19027775350248843
079-prepared.jpg,0.55,"209,236,156",0.3995173804950615
080-prepared.jpg,0.65,"173,221,164",0.4808570646152799
081-prepared.jpg,0.7,"152,214,164",0.5610220779692995
082-prepared.jpg,0.8,"112,197,165",0.6570890512360121
083-prepared.jpg,0.95,"62,149,183",0.7350786680899094
084-prepared.jpg,0.95,"62,149,183",0.749037416958291
085-prepared.jpg,0.95,"62,149,183",0.7387276975464633
086-prepared.jpg,0.95,"62,149,183",0.7339929023162288
087-prepared.jpg,0.95,"62,149,183",0.7308899400809369
088-prepared.jpg,0.95,"62,149,183",0.695552559402866
089-prepared.jpg,0.95,"62,149,183",0.6728599512398723
090-prepared.jpg,0.95,"62,149,183",0.6850598207247851
091-prepared.jpg,0.85,"94,185,169",0.6155431104954564
092-prepared.jpg,0.5,"224,243,153",0.338064584224476
093-prepared.jpg,0.5,"224,243,153",0.33146628772306924
094-prepared.jpg,0.35,"251,253,185",0.24564929079251246
095-prepared.jpg,0.25,"255,241,168",0.2607814651538852
096-prepared.jpg,0.2,"254,232,152",0.3018792657014302
097-prepared.jpg,0.55,"209,236,156",0.3969233412686882
098-prepared.jpg,0.4,"242,250,171",0.42780819464373887
099-prepared.jpg,0.4,"242,250,171",0.4317584236669539
100-prepared.jpg,0.0,"253,178,100",0.23581036316402626
101-prepared.jpg,0.2,"254,232,152",0.3420893788237402
102-prepared.jpg,0.6,"190,229,160",0.5132413056779761
103-prepared.jpg,0.65,"173,221,164",0.509234722433216
104-prepared.jpg,0.4,"242,250,171",0.37288549671441673
105-prepared.jpg,0.75,"131,205,165",0.6267151488810169
106-prepared.jpg,0.85,"94,185,169",0.645580520330808
107-prepared.jpg,0.6,"190,229,160",0.45174704605923516
108-prepared.jpg,0.6,"190,229,160",0.2930558956453818
109-prepared.jpg,0.6,"190,229,160",0.36420667552049185
110-prepared.jpg,0.55,"209,236,156",0.35253085554178426
111-prepared.jpg,0.55,"209,236,156",0.3352620361416541
112-prepared.jpg,0.55,"209,236,156",0.33802737666397376
113-prepared.jpg,0.65,"173,221,164",0.3673951905884762
114-prepared.jpg,0.65,"173,221,164",0.3446745359593951
115-prepared.jpg,0.6,"190,229,160",0.35147950157130675
116-prepared.jpg,0.75,"131,205,165",0.39611313833784606
117-prepared.jpg,0.65,"173,221,164",0.4452938409276516
118-prepared.jpg,0.35,"251,253,185",0.31013268713579834
119-prepared.jpg,0.25,"255,241,168",0.3250200574800264
120-prepared.jpg,0.35,"251,253,185",0.34018361857286217
121-prepared.jpg,0.55,"209,236,156",0.3939591406600601
122-prepared.jpg,0.65,"173,221,164",0.3507472363902525
123-prepared.jpg,0.7,"152,214,164",0.36445106934101296
124-prepared.jpg,0.55,"209,236,156",0.35445665949798
125-prepared.jpg,1.0,"52,134,87",0.3132457900101077
126-prepared.jpg,-0.1,"248,140,82",0.2025937288876479
127-prepared.jpg,1.0,"52,134,87",0.19125746512123687
128-prepared.jpg,0.65,"173,221,164",0.31123191384535676
129-prepared.jpg,0.4,"242,250,171",0.2699879819794603
130-prepared.jpg,0.2,"254,232,152",0.19985944181671675
131-prepared.jpg,0.35,"251,253,185",0.27232440187051393
132-prepared.jpg,0.5,"224,243,153",0.3598872501643793
133-prepared.jpg,0.5,"224,243,153",0.40435905740568356
134-prepared.jpg,0.55,"209,236,156",0.3904232644304869
135-prepared.jpg,0.35,"251,253,185",0.2924595405411831
136-prepared.jpg,0.15,"254,223,138",0.19818674342182666
137-prepared.jpg,0.1,"254,208,126",0.21132150687642787
138-prepared.jpg,0.35,"251,253,185",0.28469751377231695
139-prepared.jpg,0.35,"251,253,185",0.28475336620738784
140-prepared.jpg,0.35,"251,253,185",0.22605331569628123
141-prepared.jpg,0.35,"251,253,185",0.016965236024850196
142-prepared.jpg,-0.65,"104,104,104",-0.1531290941663853
143-prepared.jpg,-0.8,"60,60,60",-0.34007906586459813
144-prepared.jpg,-0.6,"121,121,121",-0.28442408507946354
145-prepared.jpg,-0.45,"166,166,166",-0.21531709263785856
146-prepared.jpg,0.65,"173,221,164",-0.04048887011691255
147-prepared.jpg,-0.25,"231,90,72",-0.05083982921158107
148-prepared.jpg,-0.15,"246,122,73",-0.056392688934313075
149-prepared.jpg,0.7,"152,214,164",0.5174880320713556
150-prepared.jpg,0.65,"173,221,164",0.4992664573028741
151-prepared.jpg,0.65,"173,221,164",0.5209143629751348
152-prepared.jpg,0.75,"131,205,165",0.5061898005056962
153-prepared.jpg,0.85,"94,185,169",0.5198719127574362
154-prepared.jpg,0.35,"251,253,185",0.4382330124568128
155-prepared.jpg,1.0,"52,134,87",0.11070021088818839
156-prepared.jpg,1.0,"52,134,87",0.15185244113981153
157-prepared.jpg,1.0,"52,134,87",0.22321335227822936
158-prepared.jpg,1.0,"52,134,87",0.30630994728690936
159-prepared.jpg,0.65,"173,221,164",0.36867716833580055
160-prepared.jpg,0.65,"173,221,164",0.46086477751234584
161-prepared.jpg,0.6,"190,229,160",0.4865393789599418
162-prepared.jpg,0.65,"173,221,164",0.5009513834683027
163-prepared.jpg,0.75,"131,205,165",0.49048555318165393
164-prepared.jpg,0.65,"173,221,164",0.4884472781294292
165-prepared.jpg,0.65,"173,221,164",0.5227711726287126
166-prepared.jpg,0.5,"224,243,153",0.492897508823467
167-prepared.jpg,0.0,"253,178,100",0.2517047965888699
168-prepared.jpg,1.0,"52,134,87",0.2490357067606778
169-prepared.jpg,-0.1,"248,140,82",0.21503285752600254
